 repeat,,,maxVertex, timeTaken,,,,,
1,,,1000,6139,1168.75,1254.005409,maxVertex,timeTaken,Stdev
2,,,1000,1637,898.3,453.3102922,1000,1168.75,1254.005409
3,,,1000,1573,843.55,424.6134434,1100,563.3,142.6416563
4,,,1000,1335,800.1,389.0104721,1200,438.25,73.93658378
5,,,1000,1705,757.6,373.623706,1300,504.75,110.7885017
6,,,1000,1561,703.65,300.3365262,1400,500.85,61.71008192
7,,,1000,1216,668.55,226.9109436,1500,532.65,59.15392499
8,,,1000,1263,640.75,186.829186,1600,591.7,68.96765069
9,,,1000,870,603.9,117.4312341,1700,680.15,97.17768587
10,,,1000,565,594.35,101.3120635,1800,729.95,140.5887901
11,,,1000,545,599.85,102.612339,1900,727.15,99.50100502
12,,,1000,568,605.3,102.4402779,2000,760.2,72.30534668
13,,,1000,613,612.4,104.6167945,2100,830.65,125.2186614
14,,,1000,581,610.05,105.1292312,2200,874.4,89.69679922
15,,,1000,598,603.55,110.8813852,2300,936.9,126.6985232
16,,,1000,570,593.85,119.5400285,2400,1082.55,306.9891949
17,,,1000,427,586.7,125.1849579,2500,1098.45,167.3252348
18,,,1000,430,584.4,128.6481943,2600,1085,133.1659036
19,,,1000,554,583.1,130.4098398,2700,1231.85,240.3042534
20,,,1000,625,575.75,136.1523431,2800,1455.05,1334.579432
1,,,1100,730,563.3,142.6416563,2900,1153.15,60.44769379
2,,,1100,542,549.9,138.6908338,3000,1325.85,154.5738709
3,,,1100,704,542.65,142.8529885,3100,1325.1,120.3459487
4,,,1100,485,533.95,137.715372,3200,1412.95,171.3071956
5,,,1100,626,530.15,140.1639172,3300,1402.35,123.5110372
6,,,1100,859,518.85,141.1364681,3400,1545.6,194.88793
7,,,1100,660,494.9,119.3349554,3500,1667.55,451.5262393
8,,,1100,526,481.45,114.8213601,3600,1565.85,103.8654367
9,,,1100,679,481.9,115.0226065,3700,2082.95,1801.707041
10,,,1100,675,472,105.2730785,3800,1700.9,136.9332915
11,,,1100,654,458.9,94.42507473,3900,1758.15,89.29918665
12,,,1100,710,446.4,83.10766638,4000,1838.1,267.954022
